Date,Suppliers,Currency (SGD),Mode of payment,Added Time,Referrer Name,Task Owner
27-Nov-2024,Alvas,56.73,Paynow,28-Nov-2024 22:04:11,,pallavaminimart@gmail.com
28-Nov-2024,Meiji,76.19,Paynow,28-Nov-2024 22:02:12,,pallavaminimart@gmail.com
28-Nov-2024,JT Intl Tobacco,1066.65,Paynow,28-Nov-2024 22:00:31,,pallavaminimart@gmail.com
28-Nov-2024,Helios,275.55,Paynow,28-Nov-2024 21:59:32,,pallavaminimart@gmail.com
27-Nov-2024,MVO Marketing Nestle,205.62,Paynow,27-Nov-2024 11:52:27,,pallavaminimart@gmail.com
26-Nov-2024,Babas,8.25,Cash from POS,26-Nov-2024 22:28:47,,pallavaminimart@gmail.com
26-Nov-2024,SunShine,25.00,Cash from POS,26-Nov-2024 22:25:32,,pallavaminimart@gmail.com
26-Nov-2024,Meiji,76.19,Paynow,26-Nov-2024 13:37:12,,pallavaminimart@gmail.com
25-Nov-2024,Minigroup,177.31,Paynow,25-Nov-2024 19:43:38,,pallavaminimart@gmail.com
25-Nov-2024,Trans Orients,72.35,Paynow,25-Nov-2024 19:42:01,,pallavaminimart@gmail.com
25-Nov-2024,Gardenia,42.85,Cash from POS,25-Nov-2024 12:33:12,,pallavaminimart@gmail.com
23-Nov-2024,Nissin Foods,231.82,Paynow,23-Nov-2024 23:13:15,,pallavaminimart@gmail.com
23-Nov-2024,Meiji,76.19,Paynow,23-Nov-2024 23:12:42,,pallavaminimart@gmail.com
23-Nov-2024,Lotus Vegetables,183.50,Paynow,23-Nov-2024 21:14:41,,pallavaminimart@gmail.com
22-Nov-2024,Jia Seng Trading Pte Ltd,336.76,Paynow,23-Nov-2024 18:09:54,,pallavaminimart@gmail.com
22-Nov-2024,Haos Ek? Malaysian Drinks,33.60,Paynow,23-Nov-2024 18:01:05,,pallavaminimart@gmail.com
23-Nov-2024,SunShine,46.40,Cash from POS,23-Nov-2024 17:56:18,,pallavaminimart@gmail.com
23-Nov-2024,Nissin Foods,231.82,Paynow,23-Nov-2024 17:55:42,,pallavaminimart@gmail.com
23-Nov-2024,Meiji,76.19,Paynow,23-Nov-2024 14:40:38,,pallavaminimart@gmail.com
22-Nov-2024,MalaysiaDairy,47.00,Cash from POS,22-Nov-2024 22:51:59,,pallavaminimart@gmail.com
22-Nov-2024,Gardenia,46.00,Cash from POS,22-Nov-2024 22:51:20,,pallavaminimart@gmail.com
21-Nov-2024,Minigroup,205.74,Paynow,21-Nov-2024 22:50:59,,pallavaminimart@gmail.com
21-Nov-2024,Meiji,76.19,Paynow,21-Nov-2024 22:50:27,,pallavaminimart@gmail.com
20-Nov-2024,Helios,582.06,Paynow,20-Nov-2024 22:46:55,,pallavaminimart@gmail.com
19-Nov-2024,Candy World,26.50,Paynow,20-Nov-2024 09:37:51,,pallavaminimart@gmail.com
18-Nov-2024,Candy World,536.06,Paynow,19-Nov-2024 22:27:06,,pallavaminimart@gmail.com
19-Nov-2024,SPM,215.49,Paynow,19-Nov-2024 10:41:16,,pallavaminimart@gmail.com
19-Nov-2024,SunShine,15.85,Cash from POS,19-Nov-2024 10:24:17,,pallavaminimart@gmail.com
18-Nov-2024,Trans Orients,91.65,Cash from POS,18-Nov-2024 17:33:59,,pallavaminimart@gmail.com
18-Nov-2024,Gardenia,41.50,Cash from POS,18-Nov-2024 10:04:13,,pallavaminimart@gmail.com
16-Nov-2024,Meiji,76.19,Paynow,18-Nov-2024 10:03:51,,pallavaminimart@gmail.com
16-Nov-2024,SunShine,55.95,Cash from POS,18-Nov-2024 10:02:24,,pallavaminimart@gmail.com
16-Nov-2024,Minigroup,187.44,Paynow,16-Nov-2024 21:00:51,,pallavaminimart@gmail.com
16-Nov-2024,Sans Pte Ltd BBQ,369.34,Paynow,16-Nov-2024 21:00:00,,pallavaminimart@gmail.com
15-Nov-2024,Gardenia,27.95,Cash from POS,15-Nov-2024 16:31:50,,pallavaminimart@gmail.com
15-Nov-2024,MalaysiaDairy,22.55,Cash from POS,15-Nov-2024 16:31:05,,pallavaminimart@gmail.com
14-Nov-2024,Meiji,76.19,Paynow,14-Nov-2024 11:43:43,,pallavaminimart@gmail.com
12-Nov-2024,Meiji,228.90,Paynow,12-Nov-2024 16:16:13,,pallavaminimart@gmail.com
12-Nov-2024,KEAN ANN,431.95,Paynow,12-Nov-2024 16:15:39,,pallavaminimart@gmail.com
12-Nov-2024,Rompin Enterprise,263.89,Paynow,12-Nov-2024 11:45:48,,pallavaminimart@gmail.com
12-Nov-2024,Philip Morris,1353.10,Cash from POS,12-Nov-2024 11:45:20,,pallavaminimart@gmail.com
12-Nov-2024,SunShine,29.90,Cash from POS,12-Nov-2024 10:10:26,,pallavaminimart@gmail.com
11-Nov-2024,Dasoon,220.18,Paynow,11-Nov-2024 19:53:57,,pallavaminimart@gmail.com
11-Nov-2024,Minigroup,210.95,Paynow,11-Nov-2024 13:44:53,,pallavaminimart@gmail.com
11-Nov-2024,Camel nuts,398.07,Paynow,11-Nov-2024 13:32:00,,pallavaminimart@gmail.com
11-Nov-2024,Helios,540.64,Paynow,11-Nov-2024 13:04:51,,pallavaminimart@gmail.com
11-Nov-2024,MVO Marketing Nestle,247.41,Paynow,11-Nov-2024 09:08:46,,pallavaminimart@gmail.com
11-Nov-2024,Gardenia,33.20,Cash from POS,11-Nov-2024 08:21:56,,pallavaminimart@gmail.com
06-Nov-2024,SPM,278.17,Paynow,10-Nov-2024 19:32:43,,pallavaminimart@gmail.com
10-Nov-2024,IceMan,36.00,Cash from POS,10-Nov-2024 13:32:02,,pallavaminimart@gmail.com
09-Nov-2024,Meiji,76.19,Paynow,09-Nov-2024 12:46:32,,pallavaminimart@gmail.com
09-Nov-2024,SunShine,38.80,Cash from POS,09-Nov-2024 12:46:15,,pallavaminimart@gmail.com
