Date,Suppliers,Currency (SGD),Mode of payment,Added Time,Referrer Name,Task Owner
28-Feb-2025,SUTL,402.34,Paynow,28-Feb-2025 20:05:13,,pallavaminimart@gmail.com
28-Feb-2025,SUTL,40.00,Paynow,28-Feb-2025 20:04:29,,pallavaminimart@gmail.com
27-Feb-2025,Meiji,70.96,Paynow,28-Feb-2025 20:02:36,,pallavaminimart@gmail.com
26-Feb-2025,SunShine,28.45,Cash bag,28-Feb-2025 20:00:36,,pallavaminimart@gmail.com
26-Feb-2025,Gardenia,39.75,Cash bag,28-Feb-2025 19:53:02,,pallavaminimart@gmail.com
25-Feb-2025,Meiji,61.80,Paynow,28-Feb-2025 19:25:53,,pallavaminimart@gmail.com
24-Feb-2025,Meiji,79.46,Paynow,28-Feb-2025 19:25:02,,pallavaminimart@gmail.com
22-Feb-2025,Mini Group,158.83,Paynow,22-Feb-2025 22:35:54,,pallavaminimart@gmail.com
22-Feb-2025,Trans Orients,92.60,Cash from POS,22-Feb-2025 22:35:35,,pallavaminimart@gmail.com
22-Feb-2025,Gardenia,32.55,Cash bag,22-Feb-2025 21:20:25,,pallavaminimart@gmail.com
22-Feb-2025,SunShine,41.80,Cash from POS,22-Feb-2025 21:20:02,,pallavaminimart@gmail.com
21-Feb-2025,MalaysiaDairy,38.40,Cash from POS,22-Feb-2025 21:19:08,,pallavaminimart@gmail.com
21-Feb-2025,MVO Marketing Nestle,359.14,Paynow,22-Feb-2025 21:18:14,,pallavaminimart@gmail.com
21-Feb-2025,Lotus Vegetables,180.50,Paynow,22-Feb-2025 21:17:35,,pallavaminimart@gmail.com
19-Feb-2025,Helios,338.45,Paynow,20-Feb-2025 16:09:44,,pallavaminimart@gmail.com
19-Feb-2025,Gardenia,35.70,Cash from POS,20-Feb-2025 16:08:50,,pallavaminimart@gmail.com
19-Feb-2025,SunShine,9.75,Cash from POS,20-Feb-2025 16:08:20,,pallavaminimart@gmail.com
19-Feb-2025,SANMAR FOODS PTE.LTD.,77.91,Paynow,19-Feb-2025 09:29:47,,pallavaminimart@gmail.com
19-Feb-2025,Meiji,70.96,Paynow,19-Feb-2025 09:23:53,,pallavaminimart@gmail.com
18-Feb-2025,Philip Morris Marlboro,724.30,Cash bag,18-Feb-2025 12:20:29,,pallavaminimart@gmail.com
18-Feb-2025,IceMan Uni TAT Ice,40.00,Cash from POS,18-Feb-2025 12:19:46,,pallavaminimart@gmail.com
11-Feb-2025,SWEE LEONG EGGS DISTRIBUTOR,17.40,Cash from POS,17-Feb-2025 19:54:46,,pallavaminimart@gmail.com
17-Feb-2025,JT Intl Tobacco,396.61,Paynow,17-Feb-2025 19:40:01,,pallavaminimart@gmail.com
17-Feb-2025,SUTL,463.66,Paynow,17-Feb-2025 19:39:37,,pallavaminimart@gmail.com
17-Feb-2025,TRENDY EGG DISTRIBUTOR,68.67,Paynow,17-Feb-2025 19:35:12,,pallavaminimart@gmail.com
17-Feb-2025,Rompin Enterprise,551.59,Paynow,17-Feb-2025 18:48:25,,pallavaminimart@gmail.com
17-Feb-2025,Mini Group,330.83,Paynow,17-Feb-2025 13:09:09,,pallavaminimart@gmail.com
11-Feb-2025,Swee Leong Eggs Local purchase,17.40,Cash from POS,14-Feb-2025 22:12:08,,pallavaminimart@gmail.com
04-Feb-2025,TRENDY EGG DISTRIBUTOR,68.70,Cash from POS,14-Feb-2025 22:02:58,,pallavaminimart@gmail.com
11-Feb-2025,KEAN ANN,219.46,Paynow,14-Feb-2025 22:01:11,,pallavaminimart@gmail.com
07-Feb-2025,Candy World,464.28,Paynow,14-Feb-2025 21:15:55,,pallavaminimart@gmail.com
11-Feb-2025,Swee hock,377.34,Paynow,14-Feb-2025 21:13:12,,pallavaminimart@gmail.com
08-Feb-2025,Trans Orients,110.50,Cash from POS,14-Feb-2025 21:12:14,,pallavaminimart@gmail.com
07-Feb-2025,MalaysiaDairy,40.90,Cash from POS,14-Feb-2025 21:10:43,,pallavaminimart@gmail.com
