Date,Suppliers,Currency (SGD),Mode of payment,Added Time,Referrer Name,Task Owner
07-Jun-2025,SunShine,14.70,Cash from POS,23-Jul-2025 17:00:34,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
06-Jun-2025,SANMAR FOODS PTE.LTD.,317.50,Paynow,23-Jul-2025 16:55:48,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
01-Jun-2025,IceMan Uni TAT Ice,30.00,Cash from POS,23-Jul-2025 16:54:55,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
05-Jun-2025,VIJAYAM BIZ SOLUTIONS PTD LTD,13.50,Cash from POS,23-Jul-2025 16:52:22,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
22-May-2025,JT Intl Tobacco,109.00,Paynow,23-Jul-2025 16:51:14,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
28-May-2025,SunShine,1.65,Cash bag,23-Jul-2025 16:50:28,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
28-May-2025,Gardenia,37.11,Cash bag,23-Jul-2025 16:49:34,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
22-May-2025,Jia Seng Trading Pte Ltd,188.20,Paynow,23-Jul-2025 13:03:22,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
22-May-2025,IceMan Uni TAT Ice,39.00,Cash from POS,23-Jul-2025 12:57:05,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
21-May-2025,YLF MARKETING (S)PTE LTD,112.20,Paynow,23-Jul-2025 12:51:40,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
20-May-2025,Alvas,61.80,Paynow,23-Jul-2025 12:50:16,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
21-May-2025,Lotus Vegetables,74.00,Paynow,23-Jul-2025 12:42:21,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
10-May-2025,Lotus Vegetables,101.50,Paynow,23-Jul-2025 12:40:44,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
28-May-2025,DASHMESH SINGAPORE PTE LTD,185.50,Paynow,23-Jul-2025 12:31:57,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
25-May-2025,Lim Siang Huat,14.30,Paynow,23-Jul-2025 12:30:58,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
20-May-2025,KEAN ANN,487.40,Paynow,23-Jul-2025 12:29:06,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
29-May-2025,DASHMESH SINGAPORE PTE LTD,103.55,Paynow,23-Jul-2025 12:25:52,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
