Date,Suppliers,Currency (SGD),Mode of payment,Added Time,Referrer Name,Task Owner
11-Jan-2025,Gardenia,33.85,Cash from POS,11-Jan-2025 22:10:59,,pallavaminimart@gmail.com
11-Jan-2025,SunShine,40.35,Cash from POS,11-Jan-2025 08:14:33,,pallavaminimart@gmail.com
10-Jan-2025,Trans Orients,123.10,Cash from POS,10-Jan-2025 18:48:50,,pallavaminimart@gmail.com
10-Jan-2025,KEAN ANN,299.26,Paynow,10-Jan-2025 18:48:27,,pallavaminimart@gmail.com
10-Jan-2025,MalaysiaDairy,50.90,Cash from POS,10-Jan-2025 18:47:53,,pallavaminimart@gmail.com
09-Jan-2025,VIJAYAM BIZ SOLUTIONS PTD LTD,82.20,Paynow,10-Jan-2025 18:47:28,,pallavaminimart@gmail.com
09-Jan-2025,JT Intl Tobacco,265.25,Paynow,10-Jan-2025 18:46:21,,pallavaminimart@gmail.com
09-Jan-2025,Meiji,79.46,Paynow,10-Jan-2025 18:45:42,,pallavaminimart@gmail.com
08-Jan-2025,MVO Marketing Nestle,247.02,Paynow,08-Jan-2025 11:54:37,,pallavaminimart@gmail.com
08-Jan-2025,Gardenia,26.25,Cash from POS,08-Jan-2025 11:54:14,,pallavaminimart@gmail.com
08-Jan-2025,SunShine,39.82,Cash from POS,08-Jan-2025 11:53:50,,pallavaminimart@gmail.com
07-Jan-2025,Meiji,79.46,Paynow,08-Jan-2025 11:53:21,,pallavaminimart@gmail.com
03-Jan-2025,Helios,418.02,Paynow,08-Jan-2025 11:52:36,,pallavaminimart@gmail.com
07-Jan-2025,TUCKLEE ICE,30.00,Cash from POS,08-Jan-2025 11:51:19,,pallavaminimart@gmail.com
06-Jan-2025,Alvas,27.75,Cash from POS,08-Jan-2025 11:49:56,,pallavaminimart@gmail.com
04-Jan-2025,Gardenia,18.55,Cash from POS,04-Jan-2025 14:18:11,,pallavaminimart@gmail.com
04-Jan-2025,SunShine,18.35,Cash from POS,04-Jan-2025 14:17:55,,pallavaminimart@gmail.com
03-Jan-2025,MalaysiaDairy,72.20,Cash from POS,03-Jan-2025 21:56:43,,pallavaminimart@gmail.com
03-Jan-2025,Haos Ek? Malaysian Drinks,25.20,Paynow,03-Jan-2025 21:56:04,,pallavaminimart@gmail.com
02-Jan-2025,IceMan Uni TAT Ice,40.00,Cash from POS,02-Jan-2025 20:56:10,,pallavaminimart@gmail.com
01-Jan-2025,Sheng Siong,32.60,Cash from POS,01-Jan-2025 18:50:34,,pallavaminimart@gmail.com
31-Dec-2024,KEAN ANN,149.81,Paynow,01-Jan-2025 18:49:23,,pallavaminimart@gmail.com
31-Dec-2024,Ambikas,78.92,Paynow,01-Jan-2025 18:47:41,,pallavaminimart@gmail.com
31-Dec-2024,YUKIN PTE LTD,298.99,Paynow,01-Jan-2025 18:46:38,,pallavaminimart@gmail.com
31-Dec-2024,Meiji,76.19,Paynow,31-Dec-2024 12:31:23,,pallavaminimart@gmail.com
30-Dec-2024,Mini Group,166.47,Paynow,31-Dec-2024 11:24:46,,pallavaminimart@gmail.com
31-Dec-2024,Sans Pte Ltd BBQ,330.85,Paynow,31-Dec-2024 11:24:13,,pallavaminimart@gmail.com
28-Dec-2024,IceMan,40.00,Cash from POS,29-Dec-2024 10:42:58,,pallavaminimart@gmail.com
28-Dec-2024,Meiji,85.02,Paynow,28-Dec-2024 19:26:43,,pallavaminimart@gmail.com
28-Dec-2024,Helios,718.09,Paynow,28-Dec-2024 19:26:19,,pallavaminimart@gmail.com
28-Dec-2024,Gardenia,27.35,Cash from POS,28-Dec-2024 08:27:48,,pallavaminimart@gmail.com
27-Dec-2024,Trans Orients,62.40,Cash from POS,27-Dec-2024 18:20:51,,pallavaminimart@gmail.com
27-Dec-2024,TRENDY EGG DISTRIBUTOR,68.70,Cash from POS,27-Dec-2024 15:39:03,,pallavaminimart@gmail.com
27-Dec-2024,Haos Ek? Malaysian Drinks,14.00,Cash from POS,27-Dec-2024 15:32:14,,pallavaminimart@gmail.com
27-Dec-2024,SUTL,488.73,Paynow,27-Dec-2024 13:12:32,,pallavaminimart@gmail.com
27-Dec-2024,MalaysiaDairy,44.20,Cash from POS,27-Dec-2024 11:54:15,,pallavaminimart@gmail.com
26-Dec-2024,Dasoon,190.75,Paynow,26-Dec-2024 14:14:55,,pallavaminimart@gmail.com
26-Dec-2024,Meiji,76.19,Paynow,26-Dec-2024 14:12:54,,pallavaminimart@gmail.com
26-Dec-2024,Chuan Seng Huat,481.78,Paynow,26-Dec-2024 14:11:56,,pallavaminimart@gmail.com
25-Dec-2024,Gardenia,48.40,Cash from POS,25-Dec-2024 08:24:39,,pallavaminimart@gmail.com
25-Dec-2024,SunShine,6.05,Cash from POS,25-Dec-2024 08:03:20,,pallavaminimart@gmail.com
24-Dec-2024,Helios,308.80,Paynow,24-Dec-2024 19:06:14,,pallavaminimart@gmail.com
24-Dec-2024,Minigroup,190.75,Paynow,24-Dec-2024 16:37:18,,pallavaminimart@gmail.com
24-Dec-2024,Meiji,85.02,Paynow,24-Dec-2024 13:44:17,,pallavaminimart@gmail.com
24-Dec-2024,Philip Morris,743.60,Cash from POS,24-Dec-2024 13:42:55,,pallavaminimart@gmail.com
16-Dec-2024,Lotus Vegetables,121.40,Paynow,23-Dec-2024 15:39:19,,pallavaminimart@gmail.com
19-Dec-2024,Meiji,85.02,Paynow,23-Dec-2024 15:37:37,,pallavaminimart@gmail.com
20-Dec-2024,SUTL,192.57,Paynow,23-Dec-2024 15:36:55,,pallavaminimart@gmail.com
20-Dec-2024,MalaysiaDairy,48.33,Cash from POS,23-Dec-2024 15:34:20,,pallavaminimart@gmail.com
21-Dec-2024,SunShine,67.96,Cash from POS,23-Dec-2024 15:33:47,,pallavaminimart@gmail.com
21-Dec-2024,Gardenia,45.37,Cash from POS,23-Dec-2024 15:33:15,,pallavaminimart@gmail.com
20-Dec-2024,DASHMESH SINGAPORE PTE LTD,371.47,Paynow,23-Dec-2024 15:30:21,,pallavaminimart@gmail.com
21-Dec-2024,IceMan,30.00,Cash from POS,23-Dec-2024 15:26:47,,pallavaminimart@gmail.com
21-Dec-2024,Helios,323.51,Paynow,23-Dec-2024 15:25:59,,pallavaminimart@gmail.com
21-Dec-2024,Meiji,76.19,Paynow,23-Dec-2024 15:25:29,,pallavaminimart@gmail.com
23-Dec-2024,IceMan,40.00,Cash from POS,23-Dec-2024 15:24:12,,pallavaminimart@gmail.com
18-Dec-2024,Topseller,68.23,Paynow,18-Dec-2024 15:57:53,,pallavaminimart@gmail.com
18-Dec-2024,Minigroup,175.44,Paynow,18-Dec-2024 15:57:22,,pallavaminimart@gmail.com
17-Dec-2024,Meiji,76.19,Paynow,17-Dec-2024 18:25:08,,pallavaminimart@gmail.com
17-Dec-2024,Lim Siang Huat,541.48,Paynow,17-Dec-2024 18:24:25,,pallavaminimart@gmail.com
16-Dec-2024,Helios,475.35,Paynow,16-Dec-2024 14:07:44,,pallavaminimart@gmail.com
14-Dec-2024,Sing Long,157.83,Paynow,14-Dec-2024 12:34:14,,pallavaminimart@gmail.com
14-Dec-2024,SunShine,33.54,Paynow,14-Dec-2024 12:33:02,,pallavaminimart@gmail.com
13-Dec-2024,Trans Orients,136.20,Cash from POS,14-Dec-2024 12:32:38,,pallavaminimart@gmail.com
13-Dec-2024,KEAN ANN,307.10,Paynow,14-Dec-2024 12:32:02,,pallavaminimart@gmail.com
13-Dec-2024,Minigroup,171.73,Paynow,14-Dec-2024 12:31:25,,pallavaminimart@gmail.com
13-Dec-2024,IceMan,30.00,Cash from POS,14-Dec-2024 12:30:37,,pallavaminimart@gmail.com
13-Dec-2024,MalaysiaDairy,30.45,Cash from POS,14-Dec-2024 12:30:09,,pallavaminimart@gmail.com
12-Dec-2024,Meiji,85.35,Paynow,12-Dec-2024 10:49:58,,pallavaminimart@gmail.com
11-Dec-2024,GOURMET SUPPLIES PTE LTD,91.60,Paynow,12-Dec-2024 10:49:24,,pallavaminimart@gmail.com
10-Dec-2024,Meiji,76.19,Paynow,10-Dec-2024 21:36:40,,pallavaminimart@gmail.com
10-Dec-2024,Philip Morris,1162.30,Cash from POS,10-Dec-2024 21:35:54,,pallavaminimart@gmail.com
10-Dec-2024,SunShine,21.96,Paynow,10-Dec-2024 08:53:50,,pallavaminimart@gmail.com
09-Dec-2024,JT Intl Tobacco,329.55,Cash from POS,10-Dec-2024 08:53:30,,pallavaminimart@gmail.com
09-Dec-2024,Gardenia,30.45,Cash from POS,10-Dec-2024 08:53:01,,pallavaminimart@gmail.com
07-Dec-2024,Meiji,76.19,Paynow,10-Dec-2024 08:52:32,,pallavaminimart@gmail.com
07-Dec-2024,SunShine,48.10,Cash from POS,10-Dec-2024 08:51:59,,pallavaminimart@gmail.com
06-Dec-2024,Haos Ek? Malaysian Drinks,75.60,Paynow,10-Dec-2024 08:50:04,,pallavaminimart@gmail.com
06-Dec-2024,Helios,498.13,Paynow,10-Dec-2024 08:45:52,,pallavaminimart@gmail.com
06-Dec-2024,MalaysiaDairy,34.75,Cash from POS,06-Dec-2024 12:09:49,,pallavaminimart@gmail.com
06-Dec-2024,GOURMET SUPPLIES PTE LTD,19.08,Paynow,06-Dec-2024 11:12:37,,pallavaminimart@gmail.com
06-Dec-2024,GOURMET SUPPLIES PTE LTD,176.58,Paynow,06-Dec-2024 11:12:10,,pallavaminimart@gmail.com
06-Dec-2024,Gardenia,37.30,Cash from POS,06-Dec-2024 08:25:44,,pallavaminimart@gmail.com
05-Dec-2024,Minigroup,169.12,Paynow,05-Dec-2024 18:36:39,,pallavaminimart@gmail.com
05-Dec-2024,Meiji,76.19,Paynow,05-Dec-2024 17:41:13,,pallavaminimart@gmail.com
05-Dec-2024,Dasoon,166.77,Paynow,05-Dec-2024 17:40:38,,pallavaminimart@gmail.com
04-Dec-2024,SMI PACKAGING PTE LTD,165.79,Paynow,04-Dec-2024 18:49:45,,pallavaminimart@gmail.com
03-Dec-2024,Aswins Sweets & Snacks,64.50,Paynow,03-Dec-2024 22:27:28,,pallavaminimart@gmail.com
03-Dec-2024,Meiji,76.19,Paynow,03-Dec-2024 22:26:28,,pallavaminimart@gmail.com
03-Dec-2024,SunShine,16.50,Cash from POS,03-Dec-2024 08:08:33,,pallavaminimart@gmail.com
02-Dec-2024,Gardenia,53.85,Cash from POS,02-Dec-2024 09:49:43,,pallavaminimart@gmail.com
30-Nov-2024,IceMan,30.00,Cash from POS,30-Nov-2024 20:49:27,,pallavaminimart@gmail.com
30-Nov-2024,SPM,291.58,Paynow,30-Nov-2024 20:48:24,,pallavaminimart@gmail.com
30-Nov-2024,Meiji,76.19,Paynow,30-Nov-2024 20:47:06,,pallavaminimart@gmail.com
30-Nov-2024,SunShine,36.80,Cash from POS,30-Nov-2024 08:35:20,,pallavaminimart@gmail.com
29-Nov-2024,Chuan Seng Huat,348.58,Paynow,29-Nov-2024 18:01:03,,pallavaminimart@gmail.com
