Date,Suppliers,Currency (SGD),Mode of payment,Added Time,Referrer Name,Task Owner
07-Apr-2025,MVO Marketing Nestle,507.15,Paynow,22-Jul-2025 20:07:41,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
12-Apr-2025,Meiji,61.80,Paynow,22-Jul-2025 20:06:58,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
12-Apr-2025,Lim Siang Huat,176.90,Cash bag,22-Jul-2025 20:06:01,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
15-Apr-2025,Meiji,71.00,Paynow,22-Jul-2025 20:05:04,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
15-Apr-2025,TRENDY EGG DISTRIBUTOR,78.00,Paynow,22-Jul-2025 20:04:34,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
15-Apr-2025,Nissin Foods,182.50,Paynow,22-Jul-2025 19:58:32,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
01-Apr-2025,KEAN ANN,295.10,Paynow,22-Jul-2025 19:57:25,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
08-Apr-2025,Mini Group,469.50,Paynow,22-Jul-2025 19:56:13,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
18-Apr-2025,MalaysiaDairy,35.30,Cash from POS,22-Jul-2025 19:55:05,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
17-Apr-2025,Meiji,61.80,Paynow,22-Jul-2025 19:53:52,https://forms.zohopublic.com/pallavaminimartgm1/form/Supplierspayment/thankyou/formperma/UAtTv3USHPQacnEaxYIunUJ71irbfPi6b7ZtwmY79QI,pallavaminimart@gmail.com
