Date,Suppliers,Currency (SGD),Mode of payment,Added Time,Referrer Name,Task Owner
23-Apr-2025,SunShine,23.48,Cash from POS,20-May-2025 12:30:16,,pallavaminimart@gmail.com
30-Apr-2025,SunShine,32.99,Cash bag,20-May-2025 12:29:37,,pallavaminimart@gmail.com
30-Apr-2025,Gardenia,37.70,Cash bag,20-May-2025 12:29:13,,pallavaminimart@gmail.com
04-May-2025,TRENDY EGG DISTRIBUTOR,80.12,Paynow,20-May-2025 12:28:03,,pallavaminimart@gmail.com
03-May-2025,SunShine,26.01,Cash from POS,20-May-2025 12:27:21,,pallavaminimart@gmail.com
03-May-2025,Gardenia,33.53,Cash from POS,20-May-2025 12:26:39,,pallavaminimart@gmail.com
07-May-2025,VIJAYAM BIZ SOLUTIONS PTD LTD,35.30,Cash from POS,20-May-2025 12:26:09,,pallavaminimart@gmail.com
07-May-2025,Gardenia,37.70,Cash bag,20-May-2025 12:25:22,,pallavaminimart@gmail.com
07-May-2025,SunShine,38.39,Cash bag,20-May-2025 12:25:03,,pallavaminimart@gmail.com
09-May-2025,Mini Group,211.48,Paynow,20-May-2025 12:23:32,,pallavaminimart@gmail.com
09-May-2025,MalaysiaDairy,12.30,Cash from POS,20-May-2025 12:23:02,,pallavaminimart@gmail.com
09-May-2025,Helios,355.12,Paynow,20-May-2025 12:22:25,,pallavaminimart@gmail.com
09-May-2025,F&N Foods Pte Ltd,23.12,Cash from POS,20-May-2025 12:21:30,,pallavaminimart@gmail.com
09-May-2025,SUTL,710.59,Paynow,20-May-2025 12:20:35,,pallavaminimart@gmail.com
16-May-2025,Chuan Seng Huat,633.29,Paynow,20-May-2025 12:19:33,,pallavaminimart@gmail.com
05-May-2025,Meiji,70.96,Paynow,20-May-2025 12:18:38,,pallavaminimart@gmail.com
05-May-2025,JT Intl Tobacco,424.93,Paynow,20-May-2025 12:17:45,,pallavaminimart@gmail.com
19-May-2025,Mini Group,164.13,Paynow,19-May-2025 14:10:25,,pallavaminimart@gmail.com
19-May-2025,Mini Group,184.88,Paynow,19-May-2025 14:10:04,,pallavaminimart@gmail.com
19-May-2025,HOUSE BRAND,271.96,Paynow,19-May-2025 14:09:33,,pallavaminimart@gmail.com
19-May-2025,Helios,584.47,Paynow,19-May-2025 14:09:00,,pallavaminimart@gmail.com
19-May-2025,KEAN ANN,329.51,Paynow,19-May-2025 14:08:27,,pallavaminimart@gmail.com
17-May-2025,Meiji,61.80,Paynow,18-May-2025 22:26:24,,pallavaminimart@gmail.com
10-May-2025,Gardenia,28.15,Cash bag,18-May-2025 22:06:54,,pallavaminimart@gmail.com
10-May-2025,SunShine,20.75,Cash bag,18-May-2025 22:06:37,,pallavaminimart@gmail.com
14-May-2025,Philip Morris Marlboro,137.80,Cash bag,18-May-2025 22:06:17,,pallavaminimart@gmail.com
14-May-2025,Yogesh Salary,250.00,Cash bag,18-May-2025 22:05:25,,pallavaminimart@gmail.com
17-May-2025,Gardenia,36.50,Cash bag,18-May-2025 22:01:47,,pallavaminimart@gmail.com
17-May-2025,SunShine,28.00,Cash bag,18-May-2025 22:01:06,,pallavaminimart@gmail.com
15-May-2025,Haos Ek? Malaysian Drinks,42.00,Cash bag,16-May-2025 22:18:26,,pallavaminimart@gmail.com
15-May-2025,TRENDY EGG DISTRIBUTOR,80.10,Cash bag,16-May-2025 22:17:53,,pallavaminimart@gmail.com
15-May-2025,HOUSE BRAND,14.50,Cash from POS,16-May-2025 22:16:08,,pallavaminimart@gmail.com
16-May-2025,MalaysiaDairy,21.30,Cash from POS,16-May-2025 22:13:45,,pallavaminimart@gmail.com
15-May-2025,F&N Foods Pte Ltd,67.55,Paynow,16-May-2025 22:13:00,,pallavaminimart@gmail.com
14-May-2025,Gardenia,34.85,Cash bag,16-May-2025 22:10:13,,pallavaminimart@gmail.com
14-May-2025,SunShine,29.55,Cash bag,16-May-2025 22:09:34,,pallavaminimart@gmail.com
02-Apr-2025,SunShine,35.50,Cash bag,16-May-2025 21:53:58,,pallavaminimart@gmail.com
02-Apr-2025,Philip Morris Marlboro,761.30,Cash bag,16-May-2025 21:51:13,,pallavaminimart@gmail.com
02-Apr-2025,IceMan Uni TAT Ice,40.00,Cash from POS,16-May-2025 21:50:32,,pallavaminimart@gmail.com
22-Mar-2025,MalaysiaDairy,42.05,Cash from POS,24-Mar-2025 21:28:44,,pallavaminimart@gmail.com
19-Mar-2025,Gardenia,29.30,Cash from POS,24-Mar-2025 21:27:32,,pallavaminimart@gmail.com
19-Mar-2025,SunShine,19.00,Cash from POS,24-Mar-2025 21:27:16,,pallavaminimart@gmail.com
18-Mar-2025,Meiji,61.80,Paynow,24-Mar-2025 21:25:44,,pallavaminimart@gmail.com
18-Mar-2025,Philip Morris Marlboro,777.65,Cash bag,24-Mar-2025 21:25:06,,pallavaminimart@gmail.com
18-Mar-2025,Babas,1.95,Cash from POS,24-Mar-2025 21:24:05,,pallavaminimart@gmail.com
13-Mar-2025,Meiji,61.80,Paynow,24-Mar-2025 21:20:20,,pallavaminimart@gmail.com
13-Mar-2025,KEAN ANN,347.67,Paynow,24-Mar-2025 21:19:37,,pallavaminimart@gmail.com
13-Mar-2025,YLF MARKETING (S)PTE LTD,370.82,Paynow,24-Mar-2025 21:18:32,,pallavaminimart@gmail.com
13-Mar-2025,Chuan Seng Huat,244.16,Paynow,24-Mar-2025 21:17:49,,pallavaminimart@gmail.com
13-Mar-2025,Haos Ek? Malaysian Drinks,18.00,Paynow,24-Mar-2025 21:17:16,,pallavaminimart@gmail.com
13-Mar-2025,Jia Seng Trading Pte Ltd,143.22,Paynow,24-Mar-2025 21:16:37,,pallavaminimart@gmail.com
17-Mar-2025,Lotus Vegetables,119.50,Paynow,17-Mar-2025 16:20:57,,pallavaminimart@gmail.com
